playerID,daysActive,BatG,BatBA,BatHR,FieldG,PitchW,PitchL,allStarCount,Cy_Young_Award,Gold_Glove_Award,Silver_Slugger,MVP,avgSalary,inducted
bluegos01,6289,1884,0.271231,43,1835,0,0,1,0,0,0,0,0,0
bluelu01,4394,1615,0.287263,44,1572,0,0,0,0,0,0,0,0,0
bluevi01,6283,525,0.100952,4,519,210,166,6,1,0,0,1,350000,0
blylebe01,8157,707,0.131004,0,700,292,251,2,0,0,0,0,1193750,1
boccajo01,4035,551,0.218878,26,511,0,0,0,0,0,0,0,0,0
boddimi01,4635,351,0,0,346,136,118,1,0,1,0,1,1598611,0
bodiepi01,3746,1050,0.275477,43,1012,0,0,0,0,0,0,0,0,0
boggswa01,6348,2479,0.326977,120,2323,0,0,12,0,2,8,0,2113288,1
boleyjo01,1905,552,0.26608,7,540,0,0,0,0,0,0,0,0,0
bolinbo01,4548,498,0.163121,6,497,88,75,0,0,0,0,0,0,0
bondsba01,7789,3034,0.297259,771,2922,0,0,14,0,8,12,7,8556606,0
bondsbo01,4849,1852,0.267763,332,1739,0,0,3,0,3,0,1,0,0
bondto01,3751,488,0.238481,0,520,234,163,0,0,0,0,0,0,0
bonilbo01,5660,2159,0.27737,292,2013,0,0,6,0,0,3,0,3271875,0
